,object_ID,Centroid_X,Centroid_Y,TimePoint,Track_ID
592,593,538.8864244741874,533.3560229445507,28,0
593,594,642.8486167236556,573.5732048492384,28,0
594,595,323.1086248982913,620.8152969894223,28,0
595,596,418.98385565052234,661.912155745489,28,0
596,597,626.5856920684292,698.747433903577,28,0
597,598,728.307903402854,928.0378704720088,28,0
598,599,751.3333333333334,930.3333333333334,28,0
599,600,746.703233256351,947.7205542725173,28,0
600,601,568.7158540523087,40.218921536971266,29,0
601,602,236.404839111998,89.88026939386381,29,0
602,603,106.43502925013296,158.35224251019324,29,0
603,604,831.7668262461278,178.80371726274288,29,0
604,605,396.002462380301,289.6995896032832,29,0
605,606,494.6583779648049,324.8312930374904,29,0
606,607,10.485958485958486,325.5323565323565,29,0
607,608,150.06368899917288,415.86373035566584,29,0
608,609,400.9622176591376,418.40205338809034,29,0
609,610,251.55314738032416,442.2606483226536,29,0
610,611,482.43035631652015,458.20869967607587,29,0
611,612,698.460343153124,492.1809647134995,29,0
612,613,451.49305790721303,519.3853708093465,29,0
613,614,323.2931920359666,529.1827231856133,29,0
614,615,539.0587343690792,533.8226600985222,29,0
615,616,641.2043840691572,574.3732633528867,29,0
616,617,322.9601891998423,622.3823413480488,29,0
617,618,419.4586046511628,665.6367441860465,29,0
618,619,627.1791925465839,696.4378881987577,29,0
619,620,734.8007925072046,935.4592939481269,29,0
620,621,568.2607578676943,35.69010918432884,30,0
621,622,239.13361532719583,90.108484697686,30,0
622,623,106.81853762675681,156.73652375022237,30,0
623,624,827.2092824601367,177.3869589977221,30,0
624,625,395.0965421853389,288.4705394190871,30,0
625,626,495.6478260869565,324.5245059288537,30,0
626,627,149.5257944696657,415.9777135782088,30,0
627,628,394.0571658615137,415.10547504025766,30,0
628,629,248.6037058044999,443.5418793722821,30,0
629,630,482.20411591768163,455.5535489290214,30,0
630,631,699.11500655308,493.694626474443,30,0
631,632,449.7820600272851,518.0658253751706,30,0
632,633,323.98287783997364,530.1824168587422,30,0
633,634,538.1855238095238,535.3024761904762,30,0
634,635,640.8443239987955,574.4778681120144,30,0
635,636,321.3873267326733,622.6043564356436,30,0
636,637,420.21488372093023,665.8474418604651,30,0
637,638,629.6214865708932,695.4987507807621,30,0
638,639,729.3163507109005,928.1925355450237,30,0
639,640,743.6392649903288,951.651837524178,30,0
640,641,567.6030631780473,32.433312061263564,31,0
641,642,239.71042760690173,92.12503125781446,31,0
642,643,108.40679152809382,157.0547873271486,31,0
643,644,820.21875,177.07545045045046,31,0
644,645,396.37243243243245,288.33027027027026,31,0
645,646,497.1637658227848,323.22745253164555,31,0
646,647,149.65570719602977,414.1443341604632,31,0
647,648,388.7155274595022,414.71078625049387,31,0
648,649,247.1619599775575,444.2277912848326,31,0
649,650,482.6013641530883,457.2212959454339,31,0
650,651,698.9009771986971,493.9957654723127,31,0
651,652,449.98035837353547,518.3304617505169,31,0
652,653,323.40974025974026,530.4717532467532,31,0
653,654,538.0339932760553,537.7915577138588,31,0
654,655,637.7793021175067,575.7053385028332,31,0
655,656,320.80958181079984,624.0069021518474,31,0
656,657,419.1897911832947,668.2232018561485,31,0
657,658,631.1895763486742,695.2005486132276,31,0
658,659,734.3321364452423,937.737881508079,31,0
659,660,567.045148895293,30.88504642971502,32,0
660,661,240.3207593688363,90.57864891518737,32,0
661,662,109.80915492957746,155.34348591549295,32,0
662,663,822.9425092041914,178.44831492495044,32,0
663,664,395.56699652313455,286.9882321476331,32,0
664,665,496.4928057553957,322.8205435651479,32,0
665,666,148.78474682225465,414.64763492394246,32,0
666,667,387.9257283545343,415.40705785802214,32,0
667,668,244.60426320667284,445.8507877664504,32,0
668,669,483.8769583492549,461.0756591517004,32,0
669,670,699.8092901537455,493.80536473666996,32,0
670,671,448.7626657599456,518.675280516831,32,0
671,672,323.34551924943383,530.9459721772889,32,0
672,673,537.8768616055213,542.5797312023248,32,0
673,674,637.3638511518016,577.47341996456,32,0
674,675,318.9550922213312,624.1836407377707,32,0
675,676,417.30914826498423,668.1550247859396,32,0
676,677,630.8017109685304,694.14970974641,32,0
677,678,504.6980487804878,770.5326829268292,32,0
678,679,733.4039121482498,938.1681537405628,32,0
679,680,566.8147664162038,28.98170532505717,33,0
680,681,241.5683345780433,87.06821010704506,33,0
681,682,110.80716783216783,153.2762237762238,33,0
682,683,824.4073550212164,177.22800565770862,33,0
683,684,397.1224926450923,286.888205402514,33,0
